workbook	worksheet	rows	columns
Table_S1.xlsx	S1A_motif_effects	12	4
Table_S1.xlsx	S1B_family_summary	17	3
Table_S2.xlsx	S2_HSF_lost	14	6
Table_S3.xlsx	S3A_HSF_robustness	6	12
Table_S3.xlsx	S3B_design_QC	22	3
Table_S4.xlsx	S4_Col0_HSF	20	7
Table_S5.xlsx	Table_S5_summary	22	14
Table_S5.xlsx	Col0_ONSEN_locations	132	18
Table_S5.xlsx	49bp_locations	4	18
Table_S5.xlsx	Column_definitions	12	2
Table_S5.xlsx	README	14	2
Table_S6.xlsx	S6_TE_background	8	10
Table_S7.xlsx	S7A_threshold_stats	9	10
Table_S7.xlsx	S7B_threshold_summary	11	7
Table_S7.xlsx	S7C_continuous_stats	8	13
Table_S7.xlsx	S7D_region_threshold	7787	6
Table_S7.xlsx	S7E_region_continuous	1949	9
Table_S7.xlsx	S7F_QC	11	2
Table_S7.xlsx	S7G_HSF_models	13	4
Table_S7.xlsx	S7H_original_QC	17	2
Table_S8.xlsx	S8_methylation	8	12
Table_S8.xlsx	S8B_statistics	8	12
Table_S8.xlsx	S8C_ordinary_TE_control	6	12
Table_S8.xlsx	S8D_selected_outliers	10	12
Table_S9.xlsx	Notes	15	2
Table_S9.xlsx	Summary	5	6
Table_S9.xlsx	S9A_Genes	32836	9
Table_S9.xlsx	S9B_TEs	31192	20
Table_S9.xlsx	S9C_ONSEN	11	16
Table_S10.xlsx	S10A_Class_summary	5	7
Table_S10.xlsx	S10B_Individual_windows	31	13
Table_S10.xlsx	S10C_Replicate_CPM	29	8
Table_S10.xlsx	S10D_Statistics	16	8
Table_S11.xlsx	S11_accessions	12	8
Table_S12.xlsx	S12_seed_variants	10	10
Table_S13.xlsx	S13_TF_family	56	10
