Table S10. Fractional multimapping-aware RNA-seq candidate-window summary for Col-0 non-stressed and 24-h 37°C heat-stressed samples.
Candidate window	Candidate class	Mean NS	Mean HS	log2FC HS vs NS [pseudocount 0.05 CPM]	Welch BH-adjusted P	Wilcoxon BH-adjusted P
ONSEN1-R	ONSEN / ATCOPIA78	1.266	212.7	7.337	6.28e-06	0.091
ONSEN2-L	ONSEN / ATCOPIA78	1.646	203	6.904	0.000962	0.091
ONSEN4-L	ONSEN / ATCOPIA78	0.107	174.4	10.12	0.000293	0.091
ONSEN5-L	ONSEN / ATCOPIA78	0.229	170.7	9.257	0.00417	0.091
ONSEN5-R	ONSEN / ATCOPIA78	0	120	11.23	0.00417	0.091
ONSEN2-R	ONSEN / ATCOPIA78	0.261	109.9	8.463	0.00652	0.091
ONSEN6-L	ONSEN / ATCOPIA78	0.104	69.15	8.808	0.00273	0.091
ONSEN1-L	ONSEN / ATCOPIA78	0.322	66.17	7.476	0.00417	0.091
ONSEN4-R	ONSEN / ATCOPIA78	0.237	65.46	7.834	0.00417	0.091
ONSEN8-R	ONSEN / ATCOPIA78	0	58.67	10.2	0.00417	0.091
ONSEN6-R	ONSEN / ATCOPIA78	0.0186	52.85	9.591	0.00278	0.091
ONSEN7-R	ONSEN / ATCOPIA78	0.0384	37.28	8.722	0.00417	0.091
ONSEN8-L	ONSEN / ATCOPIA78	0	33.57	9.393	0.0189	0.091
"ATCOPIA78
AT1TE57015"	ONSEN / ATCOPIA78	0	5.137	6.697	0.0381	0.091
ONSEN7-L	ONSEN / ATCOPIA78	0	3.182	6.014	0.0381	0.091
"ATCOPIA88
AT1TE36340"	Other HSF-rich TE	0	0.264	2.65	0.127	0.091
"ATCOPIA78
AT2TE45420"	ONSEN / ATCOPIA78	0	0.0599	1.137	0.423	0.505
"ATHILA4A
AT1TE44520"	Other HSF-rich TE	0	0.03	0.678	0.423	0.505
"ATHILA8B
AT5TE37570"	Other HSF-rich TE	0	0	0
"ATHILA4A
AT5TE45145"	Other HSF-rich TE	0	0	0
"ATHILA4A
AT1TE51750"	Other HSF-rich TE	0	0	0
"ATHILA4D
AT2TE49215"	Other HSF-rich TE	0	0	0
"ATHILA4A
AT1TE47330"	Other HSF-rich TE	0	0	0
"ATHILA4A
AT1TE47115"	Other HSF-rich TE	0	0	0
ONSEN3-L	ONSEN / ATCOPIA78	0	0	0
ONSEN3-R	ONSEN / ATCOPIA78	0	0	0
