Table S10. Heat-associated RNA-seq signal across curated ONSEN terminal candidate windows, two additional ATCOPIA78 candidate regions and the fixed HSF-rich non-ONSEN TE subset.							
							
Candidate window	Candidate class	NS rep1	NS rep2	NS rep3	HS rep1	HS rep2	HS rep3
ONSEN1-L	ONSEN terminal candidate windows	0.04690855681204651	0.18331284506768292	0.10451460595101986	33.047206794348	37.44594383104191	39.35178423535961
ONSEN1-R	ONSEN terminal candidate windows	1.1522575571801201	0.2666368655529934	0.5689078383933847	120.20598976819899	117.12776869549076	117.62954778980937
ONSEN7-L	ONSEN terminal candidate windows	0	0	0	2.299454399531056	2.265396396097319	1.324666744560866
ONSEN7-R	ONSEN terminal candidate windows	0	0	0.011496606654612185	21.898374868834818	24.203749159050982	21.865861034457875
ONSEN5-L	ONSEN terminal candidate windows	0.38796550746805386	0.022330837490063194	0	91.50094645659787	107.12106820342125	105.387522208438
ONSEN5-R	ONSEN terminal candidate windows	0	0	0	61.921468609884165	74.57388528947278	69.66232864708084
ONSEN4-L	ONSEN terminal candidate windows	0.0705391831760098	0.03332960819412417	0	84.35417382858282	84.20287856933315	88.66675916602804
ONSEN4-R	ONSEN terminal candidate windows	0.15271733157606118	0.28330166965005543	0	25.35735113523109	28.836590648714676	29.862187406569916
ONSEN8-L	ONSEN terminal candidate windows	0	0	0	15.82443088399413	22.72510164219643	22.918828803442008
ONSEN8-R	ONSEN terminal candidate windows	0	0	0.011496606654612185	32.92675322873907	38.50835122502474	34.973457265295046
ONSEN6-L	ONSEN terminal candidate windows	0.04690855681204651	0.03332960819412417	0	36.772514646986856	41.239530057702815	38.93403363654796
ONSEN6-R	ONSEN terminal candidate windows	0	0.016664804097062086	0.03483820198367328	29.279802712897716	31.525425623521773	31.40109899550848
ONSEN2-L	ONSEN terminal candidate windows	0.9053704160640857	0.8998994212413526	0.8361168476081589	102.83400148245413	102.4725594863453	101.463995697491
ONSEN2-R	ONSEN terminal candidate windows	0.0352695915880049	0.03332960819412417	0	48.99709277608707	54.724778473873165	61.70358908977192
ONSEN3-L	ONSEN terminal candidate windows	1.8752841847342203	1.2221967324785332	2.0990016695163156	76.07872211520797	86.48902345578726	83.97377686061178
ONSEN3-R	ONSEN terminal candidate windows	0.4408698948500612	0.5056101563048636	0.1306432574387748	34.704797903090984	36.076120028915774	39.99022313251521
ATCOPIA88_5	HSF-rich non-ONSEN TE regions	0	0	0	0.04167943446675832	0.21171928935488962	0.21478179887488702
ATHILA4A_1	HSF-rich non-ONSEN TE regions	0	0	0	0	0	0.053695449718721755
ATHILA4A_9	HSF-rich non-ONSEN TE regions	0	0	0	0	0	0
ATHILA4A_10	HSF-rich non-ONSEN TE regions	0	0	0	0	0	0
ATHILA4A_3	HSF-rich non-ONSEN TE regions	0	0	0	0	0	0
ATCOPIA78_4	Additional ATCOPIA78 candidate regions	0	0	0	2.5424455024722574	2.45594375651672	4.29563597749774
ATCOPIA78_2	Additional ATCOPIA78 candidate regions	0	0	0	0	0	0.10739089943744351
ATHILA4D_LTR_6	HSF-rich non-ONSEN TE regions	0	0	0	0	0	0
ATHILA8B_7	HSF-rich non-ONSEN TE regions	0	0	0	0	0	0
ATHILA4A_8	HSF-rich non-ONSEN TE regions	0	0	0	0	0	0
