Table S4. Constrained-mutant sensitivity and exact-GC control for the in-silico-designed 49-bp ONSEN HSE-disrupted sequence.

Relative PWM-score threshold	TF family	Number of random mutants	Spearman rho	P value (numeric)	P value (display)	P value exactly as stored in source CSV	Status
0.8	HSF	5000	-0.0804033844036324	1.24698413171452e-08	P = 1.24698e-08	0.0000000124698413171452	Estimated from the 5,000 constrained random mutants.
0.8	AP2/ERF	5000	0.387194348127426	1.53046006703304e-178	P < 2.2e-16	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000153046006703304	Estimated from the 5,000 constrained random mutants.
0.8	DOF	5000	-0.182504464690815	1.05662222883334e-38	P < 2.2e-16	0.0000000000000000000000000000000000000105662222883334	Estimated from the 5,000 constrained random mutants.
0.85	HSF	5000	-0.0337131158141333	0.0171275167250489	P = 0.0171275	0.0171275167250489	Estimated from the 5,000 constrained random mutants.
0.85	AP2/ERF	5000	0.4309111606385	3.08182990203724e-225	P < 2.2e-16	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308182990203724	Estimated from the 5,000 constrained random mutants.
0.85	DOF	5000	-0.221602853621307	1.13587848616643e-56	P < 2.2e-16	0.0000000000000000000000000000000000000000000000000000000113587848616643	Estimated from the 5,000 constrained random mutants.
0.9	HSF	5000			Not estimable		Not estimable because the values were constant or contained insufficient variation.
0.9	AP2/ERF	5000	0.374080393231106	7.43428038437582e-166	P < 2.2e-16	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000743428038437582	Estimated from the 5,000 constrained random mutants.
0.9	DOF	5000	-0.150996370436484	6.89725926932946e-27	P < 2.2e-16	0.00000000000000000000000000689725926932946	Estimated from the 5,000 constrained random mutants.
0.95	HSF	5000			Not estimable		Not estimable because the values were constant or contained insufficient variation.
0.95	AP2/ERF	5000	0.0950279597226815	1.66140328113143e-11	P = 1.6614e-11	0.0000000000166140328113143	Estimated from the 5,000 constrained random mutants.
0.95	DOF	5000	-0.0810755652703594	9.41595387245942e-09	P = 9.41595e-09	0.00000000941595387245942	Estimated from the 5,000 constrained random mutants.
