Table S11. Natural-accession ONSEN-like candidate-window abundance, non-redundant HSF motif-coordinate density and paired HSE/LTR structural-proxy summary.							
Accession	Candidate windows	Difference vs Col-0	Ratio vs Col-0	Median non-redundant HSF motif-coordinate placements per kb	Median distinct HSF PWM models	Putative paired HSE/LTR proxies	
Col-0	19	0	1	43.58068315665489	10	8	
An-1	7	-12	0.3684210526315789	48.29210836277974	10	2	
C24	11	-8	0.5789473684210527	42.40282685512368	10	5	
Cvi	9	-10	0.47368421052631576	42.40282685512368	10	4	
Eri	16	-3	0.8421052631578947	43.58068315665489	10	4	
Kyo	17	-2	0.8947368421052632	42.40282685512368	10	7	
Ler	15	-4	0.7894736842105263	43.58068315665489	10	6	
Sha	41	22	2.1578947368421053	42.40282685512368	10	16	
							
Note: Non-redundant HSF motif-coordinate placements collapse predictions with identical 1-based start/end coordinates across HSF PWM models and strands within each candidate window. Distinct HSF PWM models are reported separately and are not interpreted as independent motif sites. Candidate windows are 849 bp (49-bp HSE seed ±400 bp).							
