Table S7D. Region-level non-redundant HSF motif-coordinate placement metrics across PWM-score thresholds.					
					
Region ID	Region class	Region length (bp)	Relative PWM-score threshold	Non-redundant HSF motif-coordinate placements	Density (placements/kb)
Col0_AT1G11265_ONSEN1_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	90	112.5
Col0_AT1G11265_ONSEN1_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	76	95
Col0_AT1G21945_ONSEN7_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	80	100
Col0_AT1G21945_ONSEN7_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	66	82.5
Col0_AT1G48710_ONSEN5_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	90	112.5
Col0_AT1G48710_ONSEN5_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	83	103.75
Col0_AT1G58140_ONSEN4_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	72	90
Col0_AT1G58140_ONSEN4_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	84	105
Col0_AT3G32415_ONSEN8_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	89	111.25
Col0_AT3G32415_ONSEN8_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	78	97.5
Col0_AT3G59720_ONSEN6_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	85	106.25
Col0_AT3G59720_ONSEN6_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	71	88.75
Col0_AT3G61330_ONSEN2_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	76	95
Col0_AT3G61330_ONSEN2_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	89	111.25
Col0_AT5G13205_ONSEN3_leftLTRcandidate	ONSEN terminal candidate windows	800	0.8	86	107.5
Col0_AT5G13205_ONSEN3_rightLTRcandidate	ONSEN terminal candidate windows	800	0.8	100	125
BG_LTR_like_00069	Strict non-ONSEN TE background	1076	0.8	31	28.8104089219331
BG_LTR_like_00321	Strict non-ONSEN TE background	249	0.8	11	44.1767068273092
BG_LTR_like_00382	Strict non-ONSEN TE background	566	0.8	24	42.4028268551237
BG_LTR_like_00544	Strict non-ONSEN TE background	1953	0.8	75	38.4024577572965
BG_LTR_like_00545	Strict non-ONSEN TE background	794	0.8	33	41.5617128463476
BG_LTR_like_00598	Strict non-ONSEN TE background	454	0.8	3	6.6079295154185
BG_LTR_like_00976	Strict non-ONSEN TE background	373	0.8	4	10.7238605898123
BG_LTR_like_00977	Strict non-ONSEN TE background	219	0.8	5	22.8310502283105
BG_LTR_like_00988	Strict non-ONSEN TE background	575	0.8	25	43.4782608695652
BG_LTR_like_01007	Strict non-ONSEN TE background	320	0.8	10	31.25
