Table S10. Heat-associated RNA-seq signal across curated ONSEN terminal candidate windows, two additional ATCOPIA78 candidate regions and the fixed HSF-rich non-ONSEN TE subset.												
												
Candidate window	Candidate class	Locus ID	TE alias	Chr	Start	End	Width (bp)	Non-redundant HSF motif-coordinate placement density (placements/kb)	Mean NS CPM	Mean HS CPM	Descriptive log2FC [(mean HS CPM + 0.05)/(mean NS CPM + 0.05)]	Fig. 5C x-coordinate: log2(mean HS CPM + 1)
ONSEN1-L	ONSEN terminal candidate windows	AT1G11265	ONSEN	chr1	3780765	3781564	800	56.25	0.11157866927691643	36.614978286916504	7.826022120753379	5.233235352463458
ONSEN1-R	ONSEN terminal candidate windows	AT1G11265	ONSEN	chr1	3784922	3785721	800	46.25	0.6626007537088328	118.3211020844997	7.37600719434499	6.8987053977741954
ONSEN7-L	ONSEN terminal candidate windows	AT1G21945	ONSEN	chr1	7717255	7718054	800	48.75	0	1.9631725133964137	5.331398900309782	1.5671426212288064
ONSEN7-R	ONSEN terminal candidate windows	AT1G21945	ONSEN	chr1	7721848	7722647	800	45	0.003832202218204062	22.655995020781226	8.72038809882098	4.564133939793417
ONSEN5-L	ONSEN terminal candidate windows	AT1G48710	ONSEN	chr1	18013162	18013961	800	56.25	0.13676544831937235	101.33651228948571	9.084422443719061	6.677177160867677
ONSEN5-R	ONSEN terminal candidate windows	AT1G48710	ONSEN	chr1	18017636	18018435	800	50	0	68.71922751547926	10.425619329669827	6.123484679471997
ONSEN4-L	ONSEN terminal candidate windows	AT1G58140	ONSEN	chr1	21524995	21525794	800	42.5	0.034622930456711325	85.74127052131468	9.985566495501308	6.438646669762069
ONSEN4-R	ONSEN terminal candidate windows	AT1G58140	ONSEN	chr1	21529052	21529851	800	42.5	0.14533966707537221	28.018709730171896	7.166833993976212	4.85891146862471
ONSEN8-L	ONSEN terminal candidate windows	AT3G32415	ONSEN	chr3	13369174	13369973	800	56.25	0	20.489453776544188	8.68225400510419	4.425556907393122
ONSEN8-R	ONSEN terminal candidate windows	AT3G32415	ONSEN	chr3	13373309	13374108	800	48.75	0.003832202218204062	35.469520573019615	9.365926947927706	5.188619329069932
ONSEN6-L	ONSEN terminal candidate windows	AT3G59720	ONSEN	chr3	22059535	22060334	800	51.25	0.026746055002056894	38.982026113745874	8.990350045100145	5.321279678280262
ONSEN6-R	ONSEN terminal candidate windows	AT3G59720	ONSEN	chr3	22063530	22064329	800	41.25	0.017167668693578456	30.73544244397599	8.840265631944634	4.9880230511768895
ONSEN2-L	ONSEN terminal candidate windows	AT3G61330	ONSEN	chr3	22695566	22696365	800	46.25	0.8804622283045324	102.25685222209681	6.780739474676441	6.690093713199782
ONSEN2-R	ONSEN terminal candidate windows	AT3G61330	ONSEN	chr3	22699723	22700522	800	56.25	0.022866399927376355	55.14182011324405	9.564985034139115	5.811003931551932
ONSEN3-L	ONSEN terminal candidate windows	AT5G13205	ONSEN	chr5	4208083	4208882	800	51.25	1.7321608622430231	82.18050747720234	5.527974263288773	6.378173581658237
ONSEN3-R	ONSEN terminal candidate windows	AT5G13205	ONSEN	chr5	4212285	4213084	800	61.25	0.35904110286456653	36.92371368817399	6.498110325789846	5.245028342276897
ATCOPIA88_5	HSF-rich non-ONSEN TE regions	AT1TE36340	ATCOPIA88	chr1	11239005	11239335	331	81.570996978852	0	0.15606017423217833	2.043065698522228	0.209216493692359
ATHILA4A_1	HSF-rich non-ONSEN TE regions	AT1TE44520	ATHILA4A	chr1	13592847	13593057	211	137.440758293839	0	0.01789848323957392	0.4414512520835917	0.025593686138724987
ATHILA4A_9	HSF-rich non-ONSEN TE regions	AT1TE47115	ATHILA4A	chr1	14341291	14341670	380	71.0526315789474	0	0	0	0
ATHILA4A_10	HSF-rich non-ONSEN TE regions	AT1TE47330	ATHILA4A	chr1	14384612	14384991	380	71.0526315789474	0	0	0	0
ATHILA4A_3	HSF-rich non-ONSEN TE regions	AT1TE51750	ATHILA4A	chr1	15719723	15720075	353	93.4844192634561	0	0	0	0
ATCOPIA78_4	Additional ATCOPIA78 candidate regions	AT1TE57015	ATCOPIA78	chr1	17201388	17202175	788	85.0253807106599	0	3.098008412162239	5.976367490932422	2.0349229458358087
ATCOPIA78_2	Additional ATCOPIA78 candidate regions	AT2TE45420	ATCOPIA78	chr2	10582288	10582517	230	134.782608695652	0	0.03579696647914784	0.7789985444125416	0.05074123839130568
ATHILA4D_LTR_6	HSF-rich non-ONSEN TE regions	AT2TE49215	ATHILA4D_LTR	chr2	11378541	11379063	523	80.3059273422562	0	0	0	0
ATHILA8B_7	HSF-rich non-ONSEN TE regions	AT5TE37570	ATHILA8B	chr5	10286541	10286846	306	75.1633986928105	0	0	0	0
ATHILA4A_8	HSF-rich non-ONSEN TE regions	AT5TE45145	ATHILA4A	chr5	12779758	12780043	286	73.4265734265734	0	0	0	0
												
Note: Fig. 5C shows 16 curated ONSEN terminal windows plus two additional ATCOPIA78 candidate regions in the ONSEN/ATCOPIA78 class, and the fixed eight-region HSF-rich non-ONSEN TE subset. Bubble size uses max[0, descriptive log2FC]; the x-coordinate is log2(mean HS CPM + 1).												
