Table S9. Genome-wide gene and transposable-element differential expression in Col-0 after 24-h 37°C heat stress. Transposable-element-level results.																			
																			
TE ID	TE alias	TE name	Canonical ONSEN copy	Chromosome	Start	End	Strand	Length (bp)	Mean NS signal	Mean HS signal	Mean signal (all samples)	Descriptive log2FC (HS / NS)	Model log2 fold change (HS / NS)	log2FC SE	Test statistic	P value	BH-adjusted P value	Statistically tested after expression filtering	DE call
AT1TE00010	ATCOPIA24	AT1TE00010		1	11897	11976	+	80	32	14.6666666666667	23.3333333333333	-1.09953567355091	-0.903433441138772	0.409159912539532	-2.20802041805961	0.0640322336185842	0.0931660130419982	True	NS
AT1TE00020	ATREP4	AT1TE00020		1	16883	17009	-	127	0	0	0	0						False	NS
AT1TE00025	ATREP3	AT1TE00025		1	17024	18924	+	1901	0	0	0	0						False	NS
AT1TE00030	ATHATN7	AT1TE00030		1	18331	18642	-	312	0	0	0	0						False	NS
AT1TE00150	SIMPLEHAT1	AT1TE00150		1	55676	56576	+	901	0	0	0	0						False	NS
AT1TE00220	TA11	AT1TE00220		1	76844	77500	+	657	5	0.333333333333333	2.66666666666667	-2.72246602447109						False	NS
AT1TE00225	HELITRONY1D	AT1TE00225		1	78288	78785	-	498	71	14.6666666666667	42.8333333333333	-2.23703919730085	-2.0711265837797	0.360588990485734	-5.74373216716843	0.000775213493987132	0.0020132553162756	True	Down
AT1TE00470	ATLINE1_3A	AT1TE00470		1	154331	154418	-	88	6.33333333333333	1.33333333333333	3.83333333333333	-1.89812038598079						False	NS
AT1TE00600	ATREP5	AT1TE00600		1	193674	194263	-	590	0	0	0	0						False	NS
AT1TE00605	ATREP3	AT1TE00605		1	194264	194300	-	37	0	0	0	0						False	NS
AT1TE00610	ATREP4	AT1TE00610		1	194301	194336	-	36	0	0	0	0						False	NS
AT1TE00660	ATDNA2T9C	AT1TE00660		1	208030	208051	+	22	0	0	0	0						False	NS
AT1TE00665	ATREP11	AT1TE00665		1	208052	208550	+	499	0	0	0	0						False	NS
AT1TE00670	HELITRONY1E	AT1TE00670		1	208551	209163	+	613	0	0	0	0						False	NS
AT1TE00680	ATDNA2T9C	AT1TE00680		1	213762	214159	+	398	0	0	0	0						False	NS
AT1TE00820	HELITRONY3	AT1TE00820		1	255712	256074	-	363	0	1.16666666666667	0.583333333333333	1.73696559416621						False	NS
AT1TE00825	ATHPOGON3	AT1TE00825		1	256075	256920	-	846	0.333333333333333	0.5	0.416666666666667	0.263034405833794						False	NS
AT1TE00830	BRODYAGA2	AT1TE00830		1	256921	256967	+	47	0	0	0	0						False	NS
AT1TE00835	AT9NMU1	AT1TE00835		1	257687	257709	+	23	0	0	0	0						False	NS
AT1TE00840	AT9NMU1	AT1TE00840		1	257710	258629	-	920	0	0	0	0						False	NS
AT1TE00845	AT9NMU1	AT1TE00845		1	258630	258712	-	83	0	0	0	0						False	NS
AT1TE01010	ATLINEIII	AT1TE01010		1	309296	309351	-	56	0	0	0	0						False	NS
AT1TE01140	ATGP2	AT1TE01140		1	349928	349969	-	42	0	0	0	0						False	NS
AT1TE01145	ATGP2	AT1TE01145		1	349972	350037	-	66	0	0	0	0						False	NS
AT1TE01155	ATENSPM6	AT1TE01155		1	354368	354750	-	383	109	236.333333333333	172.666666666667	1.11294127892045	1.37085686269872	0.240926012053658	5.68994958665323	0.0008184242227674	0.00209952294509683	True	Up
AT1TE01370	ARNOLDY1	AT1TE01370		1	422674	424055	+	1382	0.166666666666667	0.166666666666667	0.166666666666667	0						False	NS
AT1TE01390	TAG2	AT1TE01390		1	431310	431469	+	160	0	0	0	0						False	NS
AT1TE01395	SIMPLEGUY1	AT1TE01395		1	431474	431916	-	443	0	0	0	0						False	NS
AT1TE01400	TAG2	AT1TE01400		1	431917	432073	+	157	0	0	0	0						False	NS
AT1TE01405	ATLINE1A	AT1TE01405		1	432995	433837	-	843	0	0	0	0						False	NS
AT1TE01490	ATREP15	AT1TE01490		1	460800	461652	-	853	0	0	0	0						False	NS
AT1TE01530	TSCL	AT1TE01530		1	474081	474176	+	96	0	0	0	0						False	NS
AT1TE01610	HELITRONY3	AT1TE01610		1	499077	499134	-	58	0	0	0	0						False	NS
AT1TE01615	ATREP3	AT1TE01615		1	499135	501371	-	2237	0	0	0	0						False	NS
AT1TE01620	ATREP3	AT1TE01620		1	501372	501635	-	264	0	0	0	0						False	NS
AT1TE01625	ATREP10D	AT1TE01625		1	501636	501971	+	336	0	0	0	0						False	NS
AT1TE01660	ATMU3N1	AT1TE01660		1	512671	512692	+	22	0.333333333333333	0.333333333333333	0.333333333333333	0						False	NS
AT1TE01665	ATMU3N1	AT1TE01665		1	512693	513136	-	444	0.333333333333333	1	0.666666666666667	0.84799690655495						False	NS
AT1TE01710	HELITRON4	AT1TE01710		1	529161	529576	+	416	0	0	0	0						False	NS
AT1TE01740	ATREP4	AT1TE01740		1	537238	537593	+	356	0	0	0	0						False	NS
AT1TE01745	ATREP14	AT1TE01745		1	540269	540416	-	148	0	0	0	0						False	NS
AT1TE01750	ATREP2	AT1TE01750		1	540417	540985	-	569	0.5	0	0.25	-1						False	NS
AT1TE01755	HELITRONY1A	AT1TE01755		1	540986	541195	-	210	0.5	2	1.25	1.32192809488736						False	NS
AT1TE01760	ATREP1	AT1TE01760		1	543981	544642	+	662	0	0	0	0						False	NS
AT1TE01810	ATTIRTA1	AT1TE01810		1	559302	559557	+	256	0	0	0	0						False	NS
AT1TE01900	ATREP10D	AT1TE01900		1	587269	587326	+	58	2	0	1	-2.32192809488736						False	NS
AT1TE01905	ATREP4	AT1TE01905		1	587327	587409	+	83	0	0	0	0						False	NS
AT1TE01910	ATREP2	AT1TE01910		1	587410	588054	-	645	0.223333333333333	0	0.111666666666667	-0.532732541948598						False	NS
AT1TE01915	ATREP5	AT1TE01915		1	588055	588182	+	128	0.89	0.833333333333333	0.861666666666667	-0.0600473836699389						False	NS
AT1TE01920	ATREP4	AT1TE01920		1	588183	588231	+	49	2.55666666666667	2.83333333333333	2.695	0.125006361067033						False	NS
AT1TE01970	ATLINEIII	AT1TE01970		1	604400	604453	+	54	0	0	0	0						False	NS
AT1TE01975	ATREP4	AT1TE01975		1	606710	607198	-	489	0	0	0	0						False	NS
AT1TE01980	ATREP4	AT1TE01980		1	607199	607224	-	26	0	0	0	0						False	NS
