Table S7E. Region-level continuous HSF relative-score metrics for the revised comparison universe.								
								
Region ID	Region class	Chromosome	Start	End	Width (bp)	Maximum HSF relative PWM score	Mean top-five HSF relative PWM score	Median per-model maximum HSF score
ONSEN1-L	ONSEN terminal candidate windows	Chr1	3780765	3781564	800	0.997057323853935	0.994168599502574	0.954797054476357
ONSEN1-R	ONSEN terminal candidate windows	Chr1	3784922	3785721	800	0.997057323853935	0.994168599502574	0.941882282058775
ONSEN2-L	ONSEN terminal candidate windows	Chr3	22695566	22696365	800	0.997057323853935	0.994168599502574	0.941882282058775
ONSEN2-R	ONSEN terminal candidate windows	Chr3	22699723	22700522	800	0.997057323853935	0.994168599502574	0.954797054476357
ONSEN3-L	ONSEN terminal candidate windows	Chr5	4208083	4208882	800	0.997057323853935	0.994168599502574	0.941882282058775
ONSEN3-R	ONSEN terminal candidate windows	Chr5	4212285	4213084	800	0.997057323853935	0.994168599502574	0.954797054476357
ONSEN4-L	ONSEN terminal candidate windows	Chr1	21524995	21525794	800	0.997057323853935	0.994168599502574	0.941882282058775
ONSEN4-R	ONSEN terminal candidate windows	Chr1	21529052	21529851	800	0.997057323853935	0.987494750353377	0.946786879176073
ONSEN5-L	ONSEN terminal candidate windows	Chr1	18013162	18013961	800	0.997057323853935	0.994168599502574	0.954797054476357
ONSEN5-R	ONSEN terminal candidate windows	Chr1	18017636	18018435	800	0.997057323853935	0.994168599502574	0.941882282058775
ONSEN6-L	ONSEN terminal candidate windows	Chr3	22059535	22060334	800	0.997057323853935	0.994168599502574	0.949467524247475
ONSEN6-R	ONSEN terminal candidate windows	Chr3	22063530	22064329	800	0.997057323853935	0.994168599502574	0.938442225245242
ONSEN7-L	ONSEN terminal candidate windows	Chr1	7717255	7718054	800	0.997057323853935	0.985647468465601	0.925873662919845
ONSEN7-R	ONSEN terminal candidate windows	Chr1	7721848	7722647	800	0.997057323853935	0.994168599502574	0.941882282058775
ONSEN8-L	ONSEN terminal candidate windows	Chr3	13369174	13369973	800	0.997057323853935	0.994168599502574	0.951628852720384
ONSEN8-R	ONSEN terminal candidate windows	Chr3	13373309	13374108	800	0.997057323853935	0.994168599502574	0.941882282058775
